BatteryLevel,"pTimeStamp,latitude,longitude,age,device_guid,accuracy,location_type,course,speed,altitude,BatteryLevel","2012-10-03T11:13:09.000-0400",accuracy,age,altitude,course,,,,,,,,,"device_guid",,"ip-10-34-107-159",main,latitude,1,"location_type",longitude,pTimeStamp,",,,,,,,,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",speed,"ip-10-34-107-159",,none,
45,"9/26/2012 11:58:13 PM,40.762437,-73.988013,0,30ca2642-aba7-7808-654b-26dbd96c0133,65,GPS,-1,-1,0,45","2012-09-26T23:58:13.000-0400",65,0,0,"-1",23,26,58,september,13,wednesday,2012,local,"30ca2642-aba7-7808-654b-26dbd96c0133",,"ip-10-34-107-159",main,"40.762437",1,GPS,"-73.988013","9/26/2012 11:58:13 PM","//_::_,.,-.,,----,,,-,-,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7","-1","ip-10-34-107-159",21,,0
27,"9/26/2012 11:57:46 PM,43.7029284,-79.3784065,0,74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296,30,GPS,0,0,0,27","2012-09-26T23:57:46.000-0400",30,0,0,0,23,26,57,september,46,wednesday,2012,local,"74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296",,"ip-10-34-107-159",main,"43.7029284",1,GPS,"-79.3784065","9/26/2012 11:57:46 PM","//_::_,.,-.,,----,,,,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
70,"9/26/2012 11:55:28 PM,40.66544,-73.938285,0,428dfe85-1303-a418-a693-ccf9ea247e15,30,GPS,-1,0,88,70","2012-09-26T23:55:28.000-0400",30,0,88,"-1",23,26,55,september,28,wednesday,2012,local,"428dfe85-1303-a418-a693-ccf9ea247e15",,"ip-10-34-107-159",main,"40.66544",1,GPS,"-73.938285","9/26/2012 11:55:28 PM","//_::_,.,-.,,----,,,-,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
90,"9/26/2012 11:54:50 PM,40.94617277,-73.73910061,0,6d391e86-9b0f-c532-31cd-c1afc8e288ec,30,WIFI,-1,-1,0,90","2012-09-26T23:54:50.000-0400",30,0,0,"-1",23,26,54,september,50,wednesday,2012,local,"6d391e86-9b0f-c532-31cd-c1afc8e288ec",,"ip-10-34-107-159",main,"40.94617277",1,WIFI,"-73.73910061","9/26/2012 11:54:50 PM","//_::_,.,-.,,----,,,-,-,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7","-1","ip-10-34-107-159",21,,0
40,"9/26/2012 11:54:32 PM,40.60786794,-74.1486544,0,764b41f1-e339-8eb7-3fd3-924a0d98a334,30,WIFI,-1,-1,0,40","2012-09-26T23:54:32.000-0400",30,0,0,"-1",23,26,54,september,32,wednesday,2012,local,"764b41f1-e339-8eb7-3fd3-924a0d98a334",,"ip-10-34-107-159",main,"40.60786794",1,WIFI,"-74.1486544","9/26/2012 11:54:32 PM","//_::_,.,-.,,----,,,-,-,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7","-1","ip-10-34-107-159",21,,0
40,"9/26/2012 11:53:23 PM,29.761497,-95.420126,0,6e551cf9-a8ee-361b-7969-08422cf2e377,10,GPS,-1,0,25,40","2012-09-26T23:53:23.000-0400",10,0,25,"-1",23,26,53,september,23,wednesday,2012,local,"6e551cf9-a8ee-361b-7969-08422cf2e377",,"ip-10-34-107-159",main,"29.761497",1,GPS,"-95.420126","9/26/2012 11:53:23 PM","//_::_,.,-.,,----,,,-,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
27,"9/26/2012 11:52:46 PM,43.7030059,-79.3784754,0,74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296,24,GPS,0,0,0,27","2012-09-26T23:52:46.000-0400",24,0,0,0,23,26,52,september,46,wednesday,2012,local,"74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296",,"ip-10-34-107-159",main,"43.7030059",1,GPS,"-79.3784754","9/26/2012 11:52:46 PM","//_::_,.,-.,,----,,,,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
27,"9/26/2012 11:47:46 PM,43.7030057,-79.3784725,0,74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296,23,GPS,0,0,0,27","2012-09-26T23:47:46.000-0400",23,0,0,0,23,26,47,september,46,wednesday,2012,local,"74ddfbc3-f1cc-69ff-cfe2-c9f7d46e9aaeb296",,"ip-10-34-107-159",main,"43.7030057",1,GPS,"-79.3784725","9/26/2012 11:47:46 PM","//_::_,.,-.,,----,,,,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
70,"9/26/2012 11:46:08 PM,33.962978,-84.324543,0,15a3e25a-a3cf-80a6-e7e4-f172c15e4949,30,GPS,-1,0,336,70","2012-09-26T23:46:08.000-0400",30,0,336,"-1",23,26,46,september,8,wednesday,2012,local,"15a3e25a-a3cf-80a6-e7e4-f172c15e4949",,"ip-10-34-107-159",main,"33.962978",1,GPS,"-84.324543","9/26/2012 11:46:08 PM","//_::_,.,-.,,----,,,-,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
55,"9/26/2012 11:46:05 PM,40.731739,-73.982549,0,9c0ee445-0ee0-40c6-05a5-60a7ca959f10,50,GPS,-1,0,75,55","2012-09-26T23:46:05.000-0400",50,0,75,"-1",23,26,46,september,5,wednesday,2012,local,"9c0ee445-0ee0-40c6-05a5-60a7ca959f10",,"ip-10-34-107-159",main,"40.731739",1,GPS,"-73.982549","9/26/2012 11:46:05 PM","//_::_,.,-.,,----,,,-,,,","NYRR_2012_07_01_thru_2012_09_27.csv","csv-7",0,"ip-10-34-107-159",21,,0
